ticker,name,sector,exchange,notes
AAPL,Apple Inc.,technology,NASDAQ,
MSFT,Microsoft Corporation,technology,NASDAQ,
NVDA,NVIDIA Corporation,technology,NASDAQ,
GOOGL,Alphabet Inc. Class A,communication_services,NASDAQ,
GOOG,Alphabet Inc. Class C,communication_services,NASDAQ,
AMZN,Amazon.com Inc.,consumer_discretionary,NASDAQ,
META,Meta Platforms Inc.,communication_services,NASDAQ,
TSLA,Tesla Inc.,consumer_discretionary,NASDAQ,
BRK-B,Berkshire Hathaway Inc. Class B,financials,NYSE,Yahoo format BRK-B (Bloomberg BRK.B)
JPM,JPMorgan Chase & Co.,financials,NYSE,
LLY,Eli Lilly and Company,healthcare,NYSE,
AVGO,Broadcom Inc.,technology,NASDAQ,
V,Visa Inc.,financials,NYSE,
UNH,UnitedHealth Group Incorporated,healthcare,NYSE,
XOM,Exxon Mobil Corporation,energy,NYSE,
MA,Mastercard Incorporated,financials,NYSE,
JNJ,Johnson & Johnson,healthcare,NYSE,
PG,Procter & Gamble Company,consumer_staples,NYSE,
HD,Home Depot Inc.,consumer_discretionary,NYSE,
COST,Costco Wholesale Corporation,consumer_staples,NASDAQ,
ORCL,Oracle Corporation,technology,NYSE,
ABBV,AbbVie Inc.,healthcare,NYSE,
NFLX,Netflix Inc.,communication_services,NASDAQ,
BAC,Bank of America Corporation,financials,NYSE,
KO,Coca-Cola Company,consumer_staples,NYSE,
CRM,Salesforce Inc.,technology,NYSE,
ADBE,Adobe Inc.,technology,NASDAQ,
CVX,Chevron Corporation,energy,NYSE,
MRK,Merck & Co. Inc.,healthcare,NYSE,
AMD,Advanced Micro Devices Inc.,technology,NASDAQ,
PEP,PepsiCo Inc.,consumer_staples,NASDAQ,
WMT,Walmart Inc.,consumer_staples,NYSE,
CSCO,Cisco Systems Inc.,technology,NASDAQ,
ACN,Accenture plc,technology,NYSE,
LIN,Linde plc,materials,NYSE,
TMO,Thermo Fisher Scientific Inc.,healthcare,NYSE,
MCD,McDonald's Corporation,consumer_discretionary,NYSE,
ABT,Abbott Laboratories,healthcare,NYSE,
IBM,International Business Machines Corporation,technology,NYSE,
GE,General Electric Company,industrials,NYSE,
PM,Philip Morris International Inc.,consumer_staples,NYSE,
DIS,Walt Disney Company,communication_services,NYSE,
TXN,Texas Instruments Incorporated,technology,NASDAQ,
INTU,Intuit Inc.,technology,NASDAQ,
VZ,Verizon Communications Inc.,communication_services,NYSE,
WFC,Wells Fargo & Company,financials,NYSE,
AXP,American Express Company,financials,NYSE,
DHR,Danaher Corporation,healthcare,NYSE,
NEE,NextEra Energy Inc.,utilities,NYSE,
PFE,Pfizer Inc.,healthcare,NYSE,
AMGN,Amgen Inc.,healthcare,NASDAQ,
COP,ConocoPhillips,energy,NYSE,
GS,Goldman Sachs Group Inc.,financials,NYSE,
RTX,RTX Corporation,industrials,NYSE,
T,AT&T Inc.,communication_services,NYSE,
CAT,Caterpillar Inc.,industrials,NYSE,
BLK,BlackRock Inc.,financials,NYSE,
UNP,Union Pacific Corporation,industrials,NYSE,
BKNG,Booking Holdings Inc.,consumer_discretionary,NASDAQ,
SPGI,S&P Global Inc.,financials,NYSE,
LOW,Lowe's Companies Inc.,consumer_discretionary,NYSE,
SCHW,Charles Schwab Corporation,financials,NYSE,
MS,Morgan Stanley,financials,NYSE,
NKE,NIKE Inc.,consumer_discretionary,NYSE,
BA,Boeing Company,industrials,NYSE,
HON,Honeywell International Inc.,industrials,NASDAQ,
C,Citigroup Inc.,financials,NYSE,
SBUX,Starbucks Corporation,consumer_discretionary,NASDAQ,
GILD,Gilead Sciences Inc.,healthcare,NASDAQ,
BMY,Bristol-Myers Squibb Company,healthcare,NYSE,
DE,Deere & Company,industrials,NYSE,
INTC,Intel Corporation,technology,NASDAQ,
MDT,Medtronic plc,healthcare,NYSE,
MMM,3M Company,industrials,NYSE,
USB,U.S. Bancorp,financials,NYSE,
MO,Altria Group Inc.,consumer_staples,NYSE,
F,Ford Motor Company,consumer_discretionary,NYSE,
GD,General Dynamics Corporation,industrials,NYSE,
COF,Capital One Financial Corporation,financials,NYSE,
SO,Southern Company,utilities,NYSE,
DUK,Duke Energy Corporation,utilities,NYSE,
LMT,Lockheed Martin Corporation,industrials,NYSE,
MET,MetLife Inc.,financials,NYSE,
KMI,Kinder Morgan Inc.,energy,NYSE,
KHC,Kraft Heinz Company,consumer_staples,NASDAQ,
CL,Colgate-Palmolive Company,consumer_staples,NYSE,
EMR,Emerson Electric Co.,industrials,NYSE,
AIG,American International Group Inc.,financials,NYSE,
FDX,FedEx Corporation,industrials,NYSE,
GM,General Motors Company,consumer_discretionary,NYSE,
MDLZ,Mondelez International Inc.,consumer_staples,NASDAQ,
PYPL,PayPal Holdings Inc.,financials,NASDAQ,
QCOM,QUALCOMM Incorporated,technology,NASDAQ,
TGT,Target Corporation,consumer_discretionary,NYSE,
TMUS,T-Mobile US Inc.,communication_services,NASDAQ,
UPS,United Parcel Service Inc.,industrials,NYSE,
CMCSA,Comcast Corporation,communication_services,NASDAQ,
BK,Bank of New York Mellon Corporation,financials,NYSE,
CVS,CVS Health Corporation,healthcare,NYSE,
EXC,Exelon Corporation,utilities,NASDAQ,
DOW,Dow Inc.,materials,NYSE,
WBA,Walgreens Boots Alliance Inc.,consumer_staples,NASDAQ,
CHTR,Charter Communications Inc.,communication_services,NASDAQ,
